SPBP4H10.15	ACO2(C)
SPBC106.14c	SDAD1
SPBC106.15	IDI1|IDI2
SPBC106.16	PSMA7|PSMA8
SPBC106.17c	NONE
SPBC106.18	RPL23A
SPBC106.19	NONE
SPBC106.20	EXOC7
SPBC1105.01	RRP12
SPBC1105.02c	NONE
SPBC1105.03c	MRPL16
SPBC1105.04c	NONE
SPBC1105.05	NONE
SPBC1105.06	MED4
SPBC1105.07c	PCID2
SPBC1105.08	TM9SF2|TM9SF4
SPBC1105.09	UBE2G1
SPBC1105.10	DMXL1|DMXL2
SPBC1105.11c	H3-3A|H3-3B|H3-4|H3-7|H3C1|H3C10|H3C11|H3C12|H3C13|H3C14|H3C15|H3C3|H3C6|H3C7|H3C8
SPBC1105.12	H4C1|H4C11|H4C12|H4C13|H4C14|H4C16|H4C2|H4C3|H4C4|H4C5|H4C6|H4C7|H4C8|H4C9
SPBC1105.13c	NONE
SPBC1105.14	NONE
SPBC1105.15c	NONE
SPBC1105.16c	RPP21
SPBC1105.17	CENPA
SPBC1105.18c	MTRFR
SPBC1105.19	NONE
SPBC115.01c	EXOSC5
SPBC115.02c	AFG1L
SPBC115.03	GFOD1|GFOD2
SPBC119.01	PSMD3
SPBC119.02	UBE2D1|UBE2D2|UBE2D3|UBE2D4
SPBC119.03	COMT
SPBC119.04	NONE
SPBC119.05c	GRAP|GRAP2|GRB2
SPBC119.06	SCO1|SCO2
SPBC119.07	PIK3R4
SPBC119.08	MAPK7
SPBC119.09c	ORMDL1|ORMDL2|ORMDL3
SPBC119.10	ASNS
SPBC119.11c	DROSHA
SPBC119.12	TRIP11
SPBC119.13c	PRPF31
SPBC119.14	RAD52
SPBC119.15	GPN1
SPBC119.16c	DENND11
SPBC119.17	PITRM1
SPBC119.18	TRIAP1
SPBC1198.01	NONE
SPBC1198.02	ADA
SPBC1198.03c	NONE
SPBC1198.04c	NONE
SPBC1198.05	GUK1
SPBC1198.06c	NONE
SPBC1198.07c	NONE
SPBC1198.08	CNDP1|CNDP2
SPBC1198.09	NONE
SPBC1198.10c	NARS2
SPBC1198.11c	TTF1
SPBC1198.12	FZR1
SPBC1198.13c	GTF2F2
SPBC1198.14c	FBP1|FBP2
SPBC11B10.01	ALG2
SPBC11B10.02c	NONE
SPBC11B10.03	COG8
SPBC11B10.04c	MRPS15
SPBC11B10.05c	DNAJC5|DNAJC5B|DNAJC5G
SPBC11B10.06	ZSWIM7
SPBC11B10.07c	TMEM30A|TMEM30B
SPBC11B10.08	NONE
SPBC11B10.09	CDK1|CDK2|CDK3
SPBC11B10.10c	H2AZ1|H2AZ2
SPBC11C11.01	U2SURP
SPBC11C11.02	PSTPIP1|PSTPIP2
SPBC11C11.03	NDC80
SPBC11C11.04c	TBCD
SPBC11C11.05	NONE
SPBC11C11.06c	NONE
SPBC11C11.07	RPL18
SPBC11C11.08	SRSF2
SPBC11C11.09c	RPL5
SPBC11C11.10	TRUB1
SPBC11C11.11c	NONE
SPBC11G11.01	FIS1
SPBC11G11.02c	EPS15|EPS15L1
SPBC11G11.03	MRTO4
SPBC11G11.04	TRAPPC2|TRAPPC2B
SPBC11G11.05	POLR1G
SPBC11G11.06c	SNRPE
SPBC11G11.07	TNPO3
SPBC1215.01	SURF1
SPBC1215.02c	NAA25
SPBC1271.01c	NONE
SPBC1271.02	STT3A|STT3B
SPBC1271.03c	UBLCP1
SPBC1271.04c	DHPS
SPBC1271.05c	ZFAND1|ZFAND2A|ZFAND2B
SPBC1271.06c	NONE
SPBC1271.07c	NONE
SPBC1271.08c	NONE
SPBC1271.09	NONE
SPBC1271.10c	NONE
SPBC1271.11	SLC25A26
SPBC1271.12	OSBPL10|OSBPL11|OSBPL9
SPBC1271.13	MRPL17
SPBC1271.14	NONE
SPBC1271.15c	MTIF2
SPBC1289.01c	NONE
SPBC1289.02c	HTATSF1
SPBC1289.03c	RAN
SPBC1289.04c	CNKSR1|CNKSR2|CNKSR3|IPCEF1|SAMD3
SPBC1289.05c	ATP6V1G1|ATP6V1G2
SPBC1289.06c	NONE
SPBC1289.07c	POLR1C
SPBC1289.08	UAP1|UAP1L1
SPBC1289.09	TIMM21
SPBC1289.10c	NONE
SPBC1289.11	SNRNP40
SPBC1289.12	NONE
SPBC1289.13c	NONE
SPBC1289.14	ADD1|ADD2|ADD3
SPBC1289.15	NONE
SPBC1289.16c	AOC1|AOC2|AOC3
SPBC12C2.01c	NONE
SPBC12C2.02c	RICTOR
SPBC12C2.03c	MTRR
SPBC12C2.04	NONE
SPBC12C2.05c	FNBP1|FNBP1L|TRIP10
SPBC12C2.06	DDX19A|DDX19B|DDX25
SPBC12C2.07c	SRM
SPBC12C2.08	DNM1|DNM1L
SPBC12C2.09c	ADIPOR1|ADIPOR2
SPBC12C2.10c	SIN3A|SIN3B
SPBC12C2.11	GFPT1|GFPT2
SPBC12C2.12c	GLO1
SPBC12C2.13c	NONE
SPBC12C2.14c	NONE
SPBC12D12.01	SPAG4|SUN1|SUN2|SUN3|SUN5
SPBC12D12.02c	POLD4
SPBC12D12.03	TCP1
SPBC12D12.04c	PRKCA|PRKCB|PRKCD|PRKCE|PRKCH|PRKCQ
SPBC12D12.05c	SLC25A23|SLC25A24|SLC25A25|SLC25A41
SPBC12D12.06	CCNC
SPBC12D12.07c	NONE
SPBC12D12.08c	NEDD8
SPBC12D12.09	MAD2L2
SPBC1306.01c	GFM1
SPBC1306.02	WDR6
SPBC1347.01c	REV1
SPBC1347.02	NPM1|NPM2|NPM3
SPBC1347.03	NONE
SPBC1347.04	AGK
SPBC1347.05c	NONE
SPBC1347.06c	CSNK1G1|CSNK1G2|CSNK1G3
SPBC1347.07	REXO2
SPBC1347.08c	RNASEH2B
SPBC1347.09	COQ3
SPBC1347.10	MCM10
SPBC1347.11	NONE
SPBC1347.12	ACTR1A|ACTR1B
SPBC1347.13c	MRM1
SPBC1347.14c	NONE
SPBC1348.01	NONE
SPBC1348.02	NONE
SPBC1348.03	NONE
SPBC1348.04	NONE
SPBC1348.05	NONE
SPBC1348.06c	NONE
SPBC1348.07	NONE
SPBC1348.08c	NONE
SPBC1348.09	NONE
SPBC1348.10c	PLA2G4A|PLA2G4B|PLA2G4C|PLA2G4D|PLA2G4E|PLA2G4F
SPBC1348.12	NONE
SPBC1348.14c	NONE
SPBC1348.15	NONE
SPBC13A2.01c	NCBP2|NCBP2L
SPBC13A2.02	NUP88
SPBC13A2.03	CDS1|CDS2
SPBC13A2.04c	SLC15A1|SLC15A2|SLC15A3|SLC15A4
SPBC13E7.01	CWC22
SPBC13E7.02	RNF113A|RNF113B
SPBC13E7.03c	SAMD4B
SPBC13E7.04	ATP5F1D
SPBC13E7.05	PIGM
SPBC13E7.06	SSX2IP
SPBC13E7.07	NONE
SPBC13E7.08c	LEO1
SPBC13E7.09	WIPF1|WIPF2
SPBC13E7.10c	BRF1
SPBC13E7.11	PARL
SPBC13G1.01c	NONE
SPBC13G1.02	GMPPA
SPBC13G1.03c	PEX14
SPBC13G1.04c	ALKBH1
SPBC13G1.05	TAPT1
SPBC13G1.06c	LYRM4
SPBC13G1.07	ZDHHC23
SPBC13G1.08c	ASH2L
SPBC13G1.09	BYSL
SPBC13G1.10c	ASCC3
SPBC13G1.11	YKT6
SPBC13G1.12	CHMP1A|CHMP1B
SPBC13G1.13	GTF2H4
SPBC13G1.14c	RNPS1
SPBC13G1.15c	NONE
SPBC13G1.16	NONE
SPBC146.01	MED15
SPBC146.02	NONE
SPBC146.03c	SMC4
SPBC146.04	GFER
SPBC146.05c	CWC25
SPBC146.06c	FAN1
SPBC146.07	U2AF2
SPBC146.08c	EIF1AD
SPBC146.09c	KDM1A|KDM1B
SPBC146.10	NONE
SPBC146.11c	NONE
SPBC146.12	COQ6
SPBC146.13c	MYO1E|MYO1F
SPBC146.14c	COPB1
SPBC14C8.01c	PTTG1|PTTG2|PTTG3P
SPBC14C8.02	TIMM44
SPBC14C8.03	METAP2
SPBC14C8.04	NONE
SPBC14C8.05c	NONE
SPBC14C8.06	ARPC1A|ARPC1B
SPBC14C8.07c	CDC6
SPBC14C8.09c	NONE
SPBC14C8.10	MRPL28
SPBC14C8.11c	NONE
SPBC14C8.12	POLR2H
SPBC14C8.13	SRRD
SPBC14C8.14c	MYBBP1A
SPBC14C8.15	LIPA|LIPF|LIPJ|LIPK|LIPM
SPBC14C8.16c	NONE
SPBC14C8.17c	WDR38
SPBC14C8.19	C11orf58
SPBC14F5.01	C1orf74
SPBC14F5.02	TRAPPC13
SPBC14F5.03c	IPO4
SPBC14F5.04c	PGK1|PGK2
SPBC14F5.05c	MAT1A|MAT2A
SPBC14F5.06	ABCE1
SPBC14F5.07	MARCHF6
SPBC14F5.08	MED7
SPBC14F5.09c	ADSL
SPBC14F5.10c	LONRF1|LONRF2|LONRF3
SPBC14F5.11c	SNX30|SNX4|SNX7
SPBC14F5.12c	NONE
SPBC14F5.13c	ALPG|ALPI|ALPL|ALPP
SPBC1539.01c	MRPL57
SPBC1539.02	IK
SPBC1539.03c	ASL
SPBC1539.04	TMEM33
SPBC1539.05	COG3
SPBC1539.06	ACBD7|DBI
SPBC1539.07c	ADH1A|ADH1B|ADH4|ADH5|ADH6|ADH7
SPBC1539.08	ARF6
SPBC1539.09c	NONE
SPBC1539.10	NOP16
SPBC15C4.01c	EMC2
SPBC15C4.02	ADCK1
SPBC15C4.03	CHM
SPBC15C4.04c	NONE
SPBC15C4.05	DHX29
SPBC15C4.06c	RNF181
SPBC15D4.01c	KIF20A|KIF20B|KIF23
SPBC15D4.02	NONE
SPBC15D4.03	HIRA
SPBC15D4.04	DPAGT1
SPBC15D4.05	ZNG1A|ZNG1B|ZNG1C|ZNG1E|ZNG1F
SPBC15D4.06	NAA30
SPBC15D4.07c	ATG9A
SPBC15D4.08c	NONE
SPBC15D4.09c	NONE
SPBC15D4.10c	NUP42
SPBC15D4.11c	C1QBP
SPBC15D4.12c	NONE
SPBC15D4.13c	ASCC1
SPBC15D4.14	TAF5L
SPBC15D4.15	PDXP
SPBC1604.01	NONE
SPBC1604.02c	NONE
SPBC1604.03c	NONE
SPBC1604.04	SLC25A19
SPBC1604.05	GPI
SPBC1604.06c	NOC4L
SPBC1604.07	ATP5PB
SPBC1604.08c	KPNA1|KPNA5|KPNA6
SPBC1604.09c	REXO4
SPBC1604.10	MED21
SPBC1604.11	ATP5MF
SPBC1604.12	NONE
SPBC1604.13c	MRPL32
SPBC1604.14c	PAK1|PAK2|PAK3
SPBC1604.15	PIGT
SPBC1604.16c	GPANK1
SPBC1604.17c	TTI2
SPBC1604.18c	CHMP7
SPBC1604.19c	TRAPPC8
SPBC1604.20c	KIF22
SPBC1604.21c	UBA1|UBA7
SPBC1604.25	PET117
SPBC1652.01	NONE
SPBC1652.02	SLC7A1|SLC7A14|SLC7A2|SLC7A3|SLC7A4
SPBC1677.02	DPM3
SPBC1677.03c	NONE
SPBC1683.01	NONE
SPBC1683.02	NONE
SPBC1683.03c	NONE
SPBC1683.04	NONE
SPBC1683.05	NONE
SPBC1683.06c	NONE
SPBC1683.07	NONE
SPBC1683.08	NONE
SPBC1683.09c	CYBB|NOX1|NOX3|NOX4
SPBC1683.10c	NONE
SPBC1683.11c	NONE
SPBC1683.12	SLC17A1|SLC17A2|SLC17A3|SLC17A4|SLC17A5|SLC17A6|SLC17A7|SLC17A8
SPBC1683.13c	NONE
SPBC1685.01	DUSP1|DUSP10|DUSP16|DUSP4|DUSP8
SPBC1685.02c	RPS12
SPBC1685.03	SEC11A|SEC11C
SPBC1685.04	NONE
SPBC1685.05	HTRA1|HTRA2|HTRA3|HTRA4
SPBC1685.06	TUT4|TUT7
SPBC1685.07c	SLC38A2|SLC38A3|SLC38A4|SLC38A5
SPBC1685.08	NONE
SPBC1685.09	RPS29
SPBC1685.10	RPS27|RPS27L
SPBC1685.11	XRCC2
SPBC1685.13	NONE
SPBC1685.14c	NONE
SPBC1685.15c	KIF18A|KIF18B
SPBC1685.16	ATP6V0E1|ATP6V0E2
SPBC1685.17	NONE
SPBC16A3.01	NONE
SPBC16A3.02c	RTN4IP1
SPBC16A3.03c	NONE
SPBC16A3.04	MRPS23
SPBC16A3.05c	RAE1
SPBC16A3.06	ADAD1|ADAD2|ADAR|ADARB1|ADARB2
SPBC16A3.07c	NONE
SPBC16A3.08c	SERBP1
SPBC16A3.09c	UFD1
SPBC16A3.10	MBOAT1|MBOAT2
SPBC16A3.12c	LIPA|LIPF|LIPJ|LIPK|LIPM
SPBC16A3.13	NONE
SPBC16A3.14	NONE
SPBC16A3.15c	TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBA4B|TUBA8
SPBC16A3.16	COA5
SPBC16A3.17c	NONE
SPBC16A3.18	HNRNPM
SPBC16A3.19	MRGBP
SPBC16C6.01c	SETD6
SPBC16C6.02c	VPS13A|VPS13C
SPBC16C6.03c	NUFIP1
SPBC16C6.04	NONE
SPBC16C6.05	DENR
SPBC16C6.06	SORCS2|SORCS3|SORL1|SORT1
SPBC16C6.07c	PSMC2
SPBC16C6.08c	UQCRH
SPBC16C6.09	POMT1
SPBC16C6.10	CBX1|CBX3|CBX5
SPBC16C6.11	RPL32
SPBC16C6.12c	LAS1L
SPBC16C6.13c	COPB2
SPBC16C6.14	NONE
SPBC16D10.01c	NONE
SPBC16D10.02	TRMT11
SPBC16D10.03	OSGEP
SPBC16D10.04c	DNA2
SPBC16D10.05	NONE
SPBC16D10.06	SLC39A1|SLC39A2|SLC39A3
SPBC16D10.07c	SIRT1
SPBC16D10.08c	NONE
SPBC16D10.09	PCNA
SPBC16D10.10	ADAT2
SPBC16D10.11c	RPS18
SPBC16E9.01c	NONE
SPBC16E9.02c	TOLLIP
SPBC16E9.03c	COA1
SPBC16E9.05	NONE
SPBC16E9.06c	BOLA1
SPBC16E9.07	NONE
SPBC16E9.08	NONE
SPBC16E9.09c	TMED4|TMED9
SPBC16E9.10c	NVL
SPBC16E9.11c	NEDD4|NEDD4L
SPBC16E9.12c	PABPN1
SPBC16E9.13	NONE
SPBC16E9.14c	NONE
SPBC16E9.15	HSBP1|HSBP1L1
SPBC16E9.16c	NONE
SPBC16E9.17c	CCNB1|CCNB2|CCNB3
SPBC16E9.18	PISD
SPBC16E9.19	PSMG3
SPBC16E9.20	NONE
SPBC16G5.01	PSMD8
SPBC16G5.02c	RBKS
SPBC16G5.03	NONE
SPBC16G5.04	MRPL13
SPBC16G5.05c	VAPA|VAPB
SPBC16G5.06	NONE
SPBC16G5.07c	STOML2
SPBC16G5.08	NONE
SPBC16G5.09	CTSA
SPBC16G5.10	EXOSC7
SPBC16G5.11c	BAG1
SPBC16G5.12c	TOP3A
SPBC16G5.13	NONE
SPBC16G5.14c	RPS3
SPBC16G5.15c	NONE
SPBC16G5.16	NONE
SPBC16G5.17	NONE
SPBC16G5.18	LBR|TM7SF2
SPBC16G5.19	NONE
SPBC16H5.02	PFKL|PFKM|PFKP
SPBC16H5.03c	UBA2
SPBC16H5.04	NONE
SPBC16H5.05c	CWC27
SPBC16H5.06	UQCRFS1
SPBC16H5.07c	PPP2CA|PPP2CB
SPBC16H5.08c	ABCF2
SPBC16H5.09c	NONE
SPBC16H5.10c	DHX15
SPBC16H5.11c	PRMT5
SPBC16H5.12c	NONE
SPBC16H5.13	WDR7
SPBC16H5.14c	DHRS3
SPBC16H5.15	GEMIN8
SPBC1703.01c	POP4
SPBC1703.02	ARID5A|ARID5B
SPBC1703.03c	HEATR3
SPBC1703.04	MLH1
SPBC1703.05	RIOK2
SPBC1703.06	FBXO24|FBXW2|FBXW7
SPBC1703.07	ACLY
SPBC1703.08c	MTHFS
SPBC1703.09	NONE
SPBC1703.10	RAB1A|RAB1B
SPBC1703.11	OPA3
SPBC1703.12	USP12|USP46
SPBC1703.13c	SLC25A3
SPBC1703.14c	TOP1|TOP1MT
SPBC1703.15c	VPS33A|VPS33B
SPBC1706.01	NCKIPSD
SPBC1706.03	MFN1|MFN2
SPBC1709.01	NONE
SPBC1709.02c	VARS1
SPBC1709.03	NONE
SPBC1709.04c	PPIH
SPBC1709.05	HSPA1A|HSPA1B|HSPA1L|HSPA2|HSPA6|HSPA8
SPBC1709.06	DUS2
SPBC1709.07	HSD17B7
SPBC1709.08	CPSF1
SPBC1709.09	MRRF
SPBC1709.10c	ATOX1
SPBC1709.11c	ING2|ING3|ING4|ING5
SPBC1709.12	NONE
SPBC1709.13c	SETD3
SPBC1709.14	NGLY1
SPBC1709.15c	CPSF2
SPBC1709.16c	NONE
SPBC1709.17	FPGS
SPBC1709.18	EIF4E|EIF4E1B
SPBC1709.19c	NFU1
SPBC1709.20	RPP14
SPBC1711.01c	NONE
SPBC1711.02	NONE
SPBC1711.03	EMC3
SPBC1711.04	NONE
SPBC1711.05	NOLC1
SPBC1711.06	RPL4
SPBC1711.07	GRWD1
SPBC1711.08	AHSA1
SPBC1711.09c	TMEM64
SPBC1711.10c	NPLOC4
SPBC1711.11	SNX30|SNX4|SNX7
SPBC1711.12	APEH
SPBC1711.13	NONE
SPBC1711.14	NONE
SPBC1711.15c	NONE
SPBC1711.16	PWP1
SPBC1711.17	DHX38
SPBC1711.18	MRPL55
SPBC1718.01	FBXO24|FBXW2|FBXW7
SPBC1718.02	HORMAD1|HORMAD2
SPBC1718.03	NONE
SPBC1718.04	NONE
SPBC1718.05	TRAPPC5
SPBC1718.06	OPA1
SPBC1718.07c	ZFP36|ZFP36L1|ZFP36L2
SPBC1734.01c	ESF1
SPBC1734.02c	POLD3
SPBC1734.03	NONE
SPBC1734.04	NONE
SPBC1734.05c	DNAJC8
SPBC1734.06	RAD18
SPBC1734.07c	TRAPPC8
SPBC1734.08	STAM|STAM2
SPBC1734.09	SLC35B4
SPBC1734.10c	UBE3D
SPBC1734.11	DNAJA1|DNAJA2|DNAJA4
SPBC1734.12c	ALG12
SPBC1734.13	ATP5F1C
SPBC1734.14c	CKS1B|CKS2
SPBC1734.15	PBRM1
SPBC1734.16c	SIN3A|SIN3B
SPBC1773.01	STRN|STRN3|STRN4
SPBC1773.02c	NONE
SPBC1773.03c	NONE
SPBC1773.04	NONE
SPBC1773.05c	SORD
SPBC1773.06c	NONE
SPBC1773.07c	RANBP1|RANBP2|RGPD1|RGPD2|RGPD3|RGPD4|RGPD5|RGPD6|RGPD8
SPBC1773.08c	NONE
SPBC1773.09c	DNAJC5|DNAJC5B|DNAJC5G
SPBC1773.10c	NARS1
SPBC1773.11c	TMEM30A|TMEM30B
SPBC1773.12	NONE
SPBC1773.13	AADAT
SPBC1773.14	ASL
SPBC1773.15	SLC17A1|SLC17A2|SLC17A3|SLC17A4|SLC17A5|SLC17A6|SLC17A7|SLC17A8
SPBC1773.16c	NONE
SPBC1773.17c	GRHPR
SPBC1778.01c	DNAJC2
SPBC1778.02	TERF2IP
SPBC1778.03c	NUDT12
SPBC1778.04	DBF4|DBF4B
SPBC1778.05c	LAMTOR2
SPBC1778.06c	LCP1|PLS1|PLS3
SPBC1778.07	CARNMT1
SPBC1778.08c	ARPC3
SPBC1778.09	USP6NL
SPBC1778.10c	PDPK1
SPBC17A3.01c	TIMM50
SPBC17A3.02	TMEM14A|TMEM14B|TMEM14C
SPBC17A3.03c	NONE
SPBC17A3.04c	MARS1
SPBC17A3.05c	DNAJB12|DNAJB14
SPBC17A3.06	DUSP12
SPBC17A3.07	GSR
SPBC17A3.08	TATDN1
SPBC17A3.09c	LIPT1
SPBC17A3.10	PEX10
SPBC17D1.01	NONE
SPBC17D1.02	DPH2
SPBC17D1.03c	EXOSC8
SPBC17D1.04	NONE
SPBC17D1.05	NONE
SPBC17D1.06	DDX17|DDX5
SPBC17D1.07c	IQGAP1|IQGAP2
SPBC17D1.17	NONE
SPBC17D11.01	SENP8
SPBC17D11.02c	SYVN1
SPBC17D11.03c	NONE
SPBC17D11.04c	BRD1|BRPF1|BRPF3
SPBC17D11.05	EIF3A
SPBC17D11.06	PRIM2
SPBC17D11.07c	PSMD1
SPBC17D11.08	DCAF7
SPBC17F3.01c	ARHGAP22|ARHGAP24|ARHGAP25
SPBC17F3.02	STK24|STK25|STK26
SPBC17G9.02c	CDC73
SPBC17G9.03c	KARS1
SPBC17G9.04c	NUP85
SPBC17G9.05	PPIL4
SPBC17G9.06c	NONE
SPBC17G9.07	RPS24
SPBC17G9.08c	ACAP1|ACAP2|ACAP3
SPBC17G9.09	EIF2S3
SPBC17G9.10	RPL11
SPBC17G9.11c	PC
SPBC17G9.12c	NONE
SPBC17G9.13c	NONE
SPBC1815.01	ENO1|ENO2|ENO3
SPBC1826.01c	BTAF1
SPBC1861.01c	CENPC
SPBC1861.02	NONE
SPBC1861.03	NAA35
SPBC1861.04c	SART3
SPBC1861.05	NONE
SPBC1861.06c	NONE
SPBC1861.07	ELOC
SPBC1861.08c	SNRPA1
SPBC1861.09	MAST1|MAST4
SPBC18A7.01	NONE
SPBC18A7.02c	TMEM87A|TMEM87B
SPBC18E5.01	NONE
SPBC18E5.02c	SPTLC1
SPBC18E5.03c	CENPK
SPBC18E5.04	RPL10|RPL10L
SPBC18E5.05c	ELP5
SPBC18E5.06	RPS21
SPBC18E5.07	NONE
SPBC18E5.08	NONE
SPBC18E5.09c	NONE
SPBC18E5.10	NDUFV1
SPBC18E5.11c	EDC3
SPBC18E5.12c	PMPCA
SPBC18E5.13	MTIF3
SPBC18E5.14c	NONE
SPBC18H10.02	ACSL3|ACSL4
SPBC18H10.03	EIF3G
SPBC18H10.04c	EIF4B
SPBC18H10.05	WDR44
SPBC18H10.06c	WDR82
SPBC18H10.07	WBP4
SPBC18H10.08c	USP8
SPBC18H10.09	RCHY1
SPBC18H10.10c	YJU2
SPBC18H10.11c	NONE
SPBC18H10.12c	RPL7
SPBC18H10.13	RPS14
SPBC18H10.14	RPS16
SPBC18H10.15	CDK11A|CDK11B
SPBC18H10.16	SLC12A9
SPBC18H10.17c	NONE
SPBC18H10.18c	NONE
SPBC18H10.19	UVRAG
SPBC18H10.20c	NONE
SPBC1921.01c	RPL35A
SPBC1921.02	NFATC2IP
SPBC1921.03c	NXF1|NXF3
SPBC1921.04c	NONE
SPBC1921.05	NPEPPS
SPBC1921.06c	B3GALT6|B3GNT4|B3GNT5|B3GNT8
SPBC1921.07c	SGF29
SPBC19C2.01	DHX16
SPBC19C2.02	TRDMT1
SPBC19C2.03	POLR2K
SPBC19C2.04c	NONE
SPBC19C2.05	NONE
SPBC19C2.06c	NONE
SPBC19C2.07	NONE
SPBC19C2.08	PRPF38A
SPBC19C2.09	SREBF1|SREBF2
SPBC19C2.10	SH3GL2
SPBC19C2.11c	NONE
SPBC19C2.12	MRPL39|MRPL43
SPBC19C2.13c	CTU2
SPBC19C2.14	SNRPD3
SPBC19C2.15c	HACD1|HACD2
SPBC19C7.01	PYM1
SPBC19C7.02	UBR1|UBR2
SPBC19C7.03	NONE
SPBC19C7.04c	NONE
SPBC19C7.05	NONE
SPBC19C7.06	EPRS1
SPBC19C7.07c	TSEN34
SPBC19C7.08c	LCMT2
SPBC19C7.09c	NONE
SPBC19C7.10	NONE
SPBC19C7.11	CLCN3|CLCN4|CLCN5|CLCN6|CLCN7
SPBC19C7.12c	NONE
SPBC19F5.01c	NONE
SPBC19F5.02c	UTP4
SPBC19F5.03	SACM1L
SPBC19F5.04	NONE
SPBC19F5.05c	PES1
SPBC19F8.01c	NONE
SPBC19F8.02	NUDC
SPBC19F8.03c	PICALM|SNAP91
SPBC19F8.04c	C3orf33
SPBC19F8.05	MRPS26
SPBC19F8.06c	SLC7A13|SLC7A6|SLC7A8
SPBC19F8.07	CDK7
SPBC19F8.08	RPS4X|RPS4Y1|RPS4Y2
SPBC19G7.01c	MSH2
SPBC19G7.02	NONE
SPBC19G7.03c	FAU
SPBC19G7.04	GCNA
SPBC19G7.05c	NONE
SPBC19G7.06	MEF2A|MEF2B|MEF2C|MEF2D
SPBC19G7.07c	NONE
SPBC19G7.08c	NONE
SPBC19G7.09	SENP1|SENP2|SENP3|SENP5
SPBC19G7.10c	PATL1
SPBC19G7.13	NONE
SPBC19G7.14c	COG5
SPBC19G7.15	NUP54
SPBC19G7.16	IWS1
SPBC19G7.17	SEC61A1|SEC61A2
SPBC19G7.18c	NONE
SPBC19G7.19	TOMM5
SPBC1A4.01	ANAPC10
SPBC1A4.02c	NONE
SPBC1A4.03c	TOP2A|TOP2B
SPBC1A4.04	NONE
SPBC1A4.05	NONE
SPBC1A4.06c	TAMM41
SPBC1A4.07c	DCAF13
SPBC1A4.08c	CCT3
SPBC1A4.09	PUS7L
SPBC1A4.10c	MED14
SPBC1A4.11c	NONE
SPBC1D7.01	PFDN1
SPBC1D7.02c	NONE
SPBC1D7.03	NONE
SPBC1D7.04	ALYREF
SPBC1D7.05	MAP3K2|MAP3K3
SPBC1E8.02	HERPUD1|HERPUD2
SPBC1E8.03c	NONE
SPBC1E8.05	NONE
SPBC20F10.01	GAR1
SPBC20F10.02c	ARMH3
SPBC20F10.03	IFRD1
SPBC20F10.04c	EID3|NSMCE4A
SPBC20F10.05	NRDE2
SPBC20F10.06	MAD2L1
SPBC20F10.07	GRAMD1A|GRAMD1B|GRAMD1C
SPBC20F10.08c	TANGO6
SPBC20F10.09	LSM5
SPBC20F10.10	CNPPD1
SPBC21.01	CENPU
SPBC21.02	MEAK7
SPBC21.03c	THYN1
SPBC21.04	MED8
SPBC21.05c	NONE
SPBC21.06c	NONE
SPBC21.07c	NONE
SPBC211.01	MRPS10
SPBC211.02c	XAB2
SPBC211.03c	GBF1
SPBC211.04c	MCM6
SPBC211.05	SF3B5
SPBC211.06	TUBGCP4
SPBC211.07c	UBE2H
SPBC211.08c	EXOSC6
SPBC215.01	TBC1D8|TBC1D8B|TBC1D9|TBC1D9B
SPBC215.02	PFDN5
SPBC215.03c	GPS1
SPBC215.04	NONE
SPBC215.05	GPD1|GPD1L
SPBC215.06c	LYAR
SPBC215.07c	NONE
SPBC215.08c	CPS1
SPBC215.09c	ACAT1
SPBC215.10	NONE
SPBC215.11c	NONE
SPBC215.12	EFTUD2
SPBC215.13	NONE
SPBC215.14c	CHMP6
SPBC215.15	SEC13
SPBC216.01c	PPP4R3A|PPP4R3B
SPBC216.02	NONE
SPBC216.03	BLVRB
SPBC216.04c	MSRB2|MSRB3
SPBC216.05	ATR
SPBC216.06c	TIMELESS
SPBC216.07c	MTOR
SPBC21B10.02	NONE
SPBC21B10.03c	ATXN2|ATXN2L
SPBC21B10.04c	NONE
SPBC21B10.05c	MLST8
SPBC21B10.06c	VEZT
SPBC21B10.07	NONE
SPBC21B10.08c	NONE
SPBC21B10.09	SLC33A1
SPBC21B10.10	RPS4X|RPS4Y1|RPS4Y2
SPBC21B10.11	DPM2
SPBC21B10.12	TOP6BL
SPBC21B10.13c	NONE
SPBC21B10.14	KGD4
SPBC21B10.15	NONE
SPBC21C3.01c	VPS13A|VPS13C
SPBC21C3.02c	BRMS1|BRMS1L|SUDS3
SPBC21C3.03	ADCK2
SPBC21C3.04c	MRPL34
SPBC21C3.05	SF3A2
SPBC21C3.06	NONE
SPBC21C3.07c	METTL2A|METTL2B|METTL8
SPBC21C3.08c	OAT
SPBC21C3.09c	FAHD1
SPBC21C3.10c	NONE
SPBC21C3.11	ASPSCR1
SPBC21C3.12c	TXNDC17
SPBC21C3.13	RPS19
SPBC21C3.14c	NONE
SPBC21C3.15c	NONE
SPBC21C3.16c	SUPT4H1
SPBC21C3.17c	NONE
SPBC21C3.18	CDC7
SPBC21C3.19	SBDS
SPBC21C3.20c	NONE
SPBC21D10.05c	NONE
SPBC21D10.06c	NONE
SPBC21D10.07	CMC2
SPBC21D10.08c	NONE
SPBC21D10.09c	LTN1
SPBC21D10.10	BRD8
SPBC21D10.11c	NFS1
